bookingid_(pnr),reservation_date,cancellation_date,flight_date,origin,destination,routing,flightnumber,revenue_per_booking_(ticket),revenue_per_booking_(ancilliary_pre_check_in),revenue_per_booking_(ancilliary_at_check_in),passengercount,bookingid_norm,routing_canonical,total_revenue
700010,2025-04-06,2025-04-10,2025-04-13,FCO,FRA,FCO → FRA,DE1003,120.0,0.0,2.26,1,700010,FCO-FRA,122.26
700061,2025-03-06,2025-03-09,2025-04-30,FCO,FRA,FCO-FRA,DE1003,68.0,11.51,4.84,1,700061,FCO-FRA,84.35000000000001
700114,2025-03-01,2025-03-04,2025-03-12,FRA,FCO,FRA-FCO,DE1000,160.0,5.71,0.0,2,700114,FRA-FCO,165.71
700123,2025-02-23,2025-02-27,2025-03-03,FCO,FRA,FCO → FRA,DE1003,80.0,13.3,0.0,1,700123,FCO-FRA,93.3
700131,2025-03-18,2025-03-19,2025-03-24,PMO,FCO,PMO-FCO,DE1002,216.0,6.8,8.66,2,700131,PMO-FCO,231.46
700134,2025-03-13,2025-03-14,2025-03-24,FCO,FRA,FCO → FRA,DE1003,80.0,13.21,3.27,1,700134,FCO-FRA,96.48
700135,2025-01-31,2025-02-01,2025-03-07,FRA,FCO,FRA-FCO,DE1000,136.0,11.85,9.36,2,700135,FRA-FCO,157.20999999999998
700171,2025-02-27,2025-02-28,2025-04-18,FRA,FCO,FRA-FCO,DE1000,85.0,0.0,4.98,1,700171,FRA-FCO,89.98
700198,2025-03-13,2025-03-15,2025-04-28,PMO,FCO,PMO → FCO,DE1002,153.0,15.71,0.0,2,700198,PMO-FCO,168.71
700202,2025-04-17,2025-04-21,2025-04-30,FRA,FCO,FRA → FCO,DE1000,80.0,6.02,8.44,1,700202,FRA-FCO,94.46
700220,2025-01-29,2025-02-01,2025-03-06,FCO,PMO,FCO-PMO,DE1001,153.0,17.79,5.8,2,700220,FCO-PMO,176.59
700222,2025-03-30,2025-04-02,2025-04-03,PMO,FCO,PMO-FCO,DE1002,108.0,18.08,0.0,1,700222,PMO-FCO,126.08
700245,2025-03-22,2025-03-23,2025-04-21,FCO,FRA,FCO-FRA,DE1003,85.0,11.41,3.27,1,700245,FCO-FRA,99.67999999999999
700258,2025-01-19,2025-01-22,2025-03-12,FCO,PMO,FCO → PMO,DE1001,76.5,10.38,5.13,1,700258,FCO-PMO,92.00999999999999
700287,2025-01-30,2025-02-03,2025-03-02,FCO,PMO,FCO-PMO,DE1001,76.5,16.04,6.37,1,700287,FCO-PMO,98.91
700319,2025-01-07,2025-01-10,2025-03-05,PMO,FCO,PMO-FCO,DE1002,153.0,17.44,8.99,2,700319,PMO-FCO,179.43
700323,2025-01-27,2025-01-29,2025-03-05,FRA,FCO,FRA-FCO,DE1000,68.0,18.89,3.48,1,700323,FRA-FCO,90.37
700332,2025-03-04,2025-03-05,2025-03-28,FCO,FRA,FCO → FRA,DE1003,68.0,0.0,0.0,1,700332,FCO-FRA,68.0
700342,2025-02-18,2025-02-22,2025-03-27,FCO,FRA,FCO-FRA,DE1003,68.0,5.09,3.43,1,700342,FCO-FRA,76.52000000000001
