bookingid_(pnr),reservation_date,cancellation_date,flight_date,origin,destination,routing,flightnumber,revenue_per_booking_(ticket),revenue_per_booking_(ancilliary_pre_check_in),revenue_per_booking_(ancilliary_at_check_in),passengercount,bookingid_norm,total_revenue,routing_canonical,is_cancelled,flight_dow,days_after_booking_to_cancel,days_before_flight_to_cancel,lead_time_days,ancillary_total
700000,2025-02-24,,2025-04-02,FCO,PMO,FCO-PMO,DE1001,76.5,11.11,0.0,1,700000,87.61,FCO-PMO,False,Wednesday,,,37,11.11
700001,2025-01-26,,2025-03-19,FRA,FCO,FRA → FCO,DE1000,68.0,18.46,7.05,1,700001,93.51,FRA-FCO,False,Wednesday,,,52,25.51
700002,2025-03-02,,2025-03-22,PMO,FCO,PMO-FCO,DE1002,153.0,0.0,4.72,2,700002,157.72,PMO-FCO,False,Saturday,,,20,4.72
700003,2025-03-03,,2025-04-19,FRA,FCO,FRA → FCO,DE1000,170.0,5.83,0.0,2,700003,175.83,FRA-FCO,False,Saturday,,,47,5.83
700004,2025-02-15,,2025-03-16,FCO,FRA,FCO-FRA,DE1003,136.0,6.39,4.79,2,700004,147.17999999999998,FCO-FRA,False,Sunday,,,29,11.18
700005,2025-01-30,,2025-03-09,FRA,FCO,FRA-FCO,DE1000,204.0,12.93,9.11,3,700005,226.04000000000002,FRA-FCO,False,Sunday,,,38,22.04
700006,2025-03-02,,2025-03-07,PMO,FCO,PMO-FCO,DE1002,216.0,0.0,0.0,2,700006,216.0,PMO-FCO,False,Friday,,,5,0.0
700007,2025-01-16,,2025-03-13,PMO,FCO,PMO → FCO,DE1002,76.5,0.0,7.57,1,700007,84.07,PMO-FCO,False,Thursday,,,56,7.57
700008,2025-02-08,,2025-03-16,FCO,FRA,FCO-FRA,DE1003,68.0,9.51,0.0,1,700008,77.51,FCO-FRA,False,Sunday,,,36,9.51
700009,2025-03-11,,2025-04-17,FRA,FCO,FRA-FCO,DE1000,170.0,0.0,0.0,2,700009,170.0,FRA-FCO,False,Thursday,,,37,0.0
700010,2025-04-06,2025-04-10,2025-04-13,FCO,FRA,FCO → FRA,DE1003,120.0,0.0,2.26,1,700010,122.26,FCO-FRA,True,Sunday,4.0,3.0,7,2.26
700011,2025-02-14,,2025-03-21,FCO,FRA,FCO-FRA,DE1003,68.0,0.0,8.91,1,700011,76.91,FCO-FRA,False,Friday,,,35,8.91
700012,2025-02-13,,2025-04-02,FRA,FCO,FRA → FCO,DE1000,136.0,6.78,4.3,2,700012,147.08,FRA-FCO,False,Wednesday,,,48,11.08
700013,2025-03-13,,2025-04-25,PMO,FCO,PMO-FCO,DE1002,95.62,0.0,8.14,1,700013,103.76,PMO-FCO,False,Friday,,,43,8.14
700014,2025-01-24,,2025-03-09,FCO,PMO,FCO → PMO,DE1001,153.0,0.0,7.16,2,700014,160.16,FCO-PMO,False,Sunday,,,44,7.16
700015,2025-02-24,,2025-04-12,FRA,FCO,FRA → FCO,DE1000,136.0,19.71,0.0,2,700015,155.71,FRA-FCO,False,Saturday,,,47,19.71
700016,2025-02-02,,2025-03-13,FCO,FRA,FCO → FRA,DE1003,136.0,18.5,2.78,2,700016,157.28,FCO-FRA,False,Thursday,,,39,21.28
700017,2025-01-15,,2025-03-07,FCO,PMO,FCO-PMO,DE1001,153.0,19.06,9.03,2,700017,181.09,FCO-PMO,False,Friday,,,51,28.089999999999996
700018,2025-02-21,,2025-04-02,FCO,FRA,FCO → FRA,DE1003,204.0,0.0,0.0,3,700018,204.0,FCO-FRA,False,Wednesday,,,40,0.0
